url,title,body
https://www.larepublica.co/finanzas/tarjetazo-a-cuantas-cuotas-se-recomienda-diferir-las-compras-con-tarjeta-de-credito-3343014,Tarjetazo | ¿A cuántas cuotas se recomienda diferir las compras con tarjeta de crédito?,"Las tarjetas de crédito pueden ser una herramienta útil, pero se necesita de responsabilidad financiera para su uso. En este primer episodio de Tarjetazo le contamos sobre este producto financiero y cómo decidir a cuántas cuotas diferir sus compras.,La semana pasada la Superintendencia Financiera de Colombia (SFC) emitió el decreto que certifica la ,, lo que quiere decir que ahora los bancos podrán cobrar un interés de hasta ese nivel en sus compras con tarjetas de crédito.,Esta tasa ha venido en aumento y ya está en los niveles prepandemia. Es por eso que, a la hora de financiar sus compras con tarjeta, es clave saber decidir el número de cuotas a diferir, pues puede terminar pagando mucho más que el costo inicial del bien o servicio adquirido.,Un consejo útil para definir las cuotas es pensar en la vida útil de aquello que va a comprar. Si, por ejemplo, va a ir a una cena con amigos, el evento va a durar solo un par de horas, por lo que se recomienda diferir el consumo a una sola cuota. Lo mismo sucede con todos los bienes y servicios que sean de un solo uso, como el mercado, lo mejor es enviarlo a no más de una cuota.,Por otro lado, cuando se compran bienes como los celulares, computadores o televisores, cuya vida útil es de alrededor de tres años, lo ideal es diferirlo a menos de 24 cuotas. Mientras que en las compras de ropa y accesorios los expertos recomiendan que se difieran a no más de seis meses.,En el caso de los bienes con mayor vida útil, como los muebles y electrodomésticos, las compras se pueden diferir a un máximo de 36 cuotas, pero el mínimo lo puede definir dependiendo de su presupuesto.,Recuerde que siempre debe analizar los intereses y revisar si puede pagar las cuotas con el flujo de caja que tiene."
https://www.larepublica.co/finanzas/expliquemeporque-no-se-toca-el-dinero-de-los-pensionados-3341482,#ExplíquemePorQué | No se toca el dinero de los pensionados,"Estamos en época electoral y es común hacer anuncios descrestantes, sobre todo si se está en campaña. En las últimas semanas, el tema económico de moda fue el de las pensiones, especialmente el manejo y destino de esos recursos que son los ahorros de todos los colombianos.,Según la Superfinanciera, hay más de 18 millones de personas afiliadas a las Administradoras de Fondos de Pensiones (AFP), mientras que hay 6,7 millones de personas en el Régimen de Prima Media, que administra Colpensiones.,A enero de este año, los recursos administrados por el sistema pensional ascendieron a $407,6 billones.,El RPM administra $13,2 billones sin incluir el el programa de Beneficios Económicos Periódicos,Y el Régimen de Ahorro Individual con Solidaridad administra $394,4 billones,Para que nos explique por qué no se pueden tocar los recursos que administran los fondos privados, una de las propuestas que se asomó por uno de los candidatos presidenciales, consultamos a Andrés Felipe Izquierdo, CEO de Integral Soluciones Pensionales."
https://www.larepublica.co/economia/presidente-duque-hablo-de-los-avances-entre-eeuu-y-colombia-en-el-ultimo-tiempo-3347372,MÁS DE ECONOMÍA,"El presidente de la República, Iván Duque, manifestó que gracias a diferentes trabajos conjuntos entre Colombia y Estados Unidos (EE.UU.) hoy la relación se encuentra en el punto más alto.,La intervención fue realizada en el cierre de la 'Cumbre del Bicentenario entre Colombia y Estados Unidos', llevada a cabo por la Cámara de Comercio Colombo Americana (Amcham)., el mandatario aseguró que Colombia realiza 85% de las exportaciones de  carbón de EE.UU. Además destacó la importancia del país en el contexto actual de abastecimiento del mundo. ""Somos un socio estratégico en el suministro de alimentos. tenemos un potencial de 25 millones de hectáreas y para llegar a ese que busca abastecer a Colombia y al mundo hay un reto que necesita inversión"", dijo el mandatario., ""Un dólar invertido en Colombia es un dólar más verde. Y eso va en línea con lo que presentamos la semana pasada en Estados Unidos de la Taxonomía Verde"".,En término de energías renovables, el mandatario aseguró que Colombia trabaja hoy con EE.UU. en expansión de energías renovables no convencionales, ""una apuesta que EE.UU. estableció en la última década y que ha visto que en nuestro país avanza hace cuatro años. Hoy tenemos 100 veces más megavatios de lo que teníamos en 2018"".,Finalmente, hizo énfasis en el avance de la recuperación de los empleos perdidos de la pandemia y dijo que este año se espera que Colombia sea una de las economías que más crezca en América Latina.,En el cierre del evento, la directora de Amcham, María Claudia Lacouture, por su parte, destacó los avances de la relación entre ambos países. ""Las exportaciones colombianas distintas a energía o minería pasaron de US$3.400 millones a US$5.200 en 2021, un incremento de 51%.,Asimismo, dijo que la participación de empresas colombianas en Estados Unidos ha venido creciendo 15% y que los productos con arancel cero han pasado de 5.500 a 11.496 artículos con ese beneficio."
https://www.larepublica.co/economia/minsalud-informo-que-se-han-aplicado-8213-millones-de-vacunas-contra-el-covid-19-3347230,MÁS DE ECONOMÍA," informó que, con corte al martes 19 de abril de 2022, se han aplicado en el país un total de 82,13 millones de vacunas contra el covid-19.,
,El país llegó a esta cifra tras aplicar 68.198 dosis el martes, entre primeras, segundas dosis, monodosis y refuerzos contra el covid. El número de segundas dosis ascendió a 17.169, mientras que las monodosis fueron 4.301.,
,De acuerdo con la cartera de Salud, 35,75 millones de colombianos ya fueron vacunados con la primera dosis; 28,82 millones con las dos dosis y 6,40 millones con la monodosis. De esta forma, se alcanzó un total, 35,23 millones de colombianos ya cuentan con su esquema completo.,Por su parte, el conteo para las vacunas de refuerzo alcanzó las 11.12 millones de dosis.,Entre las novedades se conoció que Chocó no reportó jornada de vacunación."
https://www.larepublica.co/economia/importaciones-crecieron-513-en-febrero-jalonadas-por-la-industria-manufacturera-3347433,MÁS DE ECONOMÍA,"Según el último dato revelado por el Departamento Administrativo Nacional de Estadísticas (Dane), el total de las importaciones en febrero de 2022 fue de US$4.516 millones, lo que significó un crecimiento de 51,3% frente a la cifra del segundo mes en 2021.,En esta ocasión, las importaciones manufactureras participaron con 77,5% del valor CIF total de las importaciones, seguido por productos agropecuarios, alimentos y bebidas con 12,3%; combustibles y productos de las industrias extractivas con 10,0% y otros sectores con 0,1%.,De acuerdo con la entidad, presidida por Juan Daniel Oviedo, la industria manufacturera sumó US$4.516 millones CIF que se tradujeron en un aumento de 51,3% frente al mismo período en 2021. Lo anterior, como resultado de las mayores compras de maquinaria y equipos de transporte (50,0%) así como de productos químicos y productos conexos (51,6%), que en su conjunto aportaron 36,0 puntos porcentuales(pp) a la variación del grupo.,A su vez, la cifra para el grupo de productos agropecuarios, alimentos y bebidas ascendió a US$717,6 millones (CIF), al registrar un alza de 17,9% explicado por el buen desempeño de las importaciones de productos alimenticios y animales vivos (10,9%) los cuales contribuyeron en 8,4 pp en su categoría.,Las compras externas del grupo combustibles y productos de la industria extractiva también fueron positivas. Según las cifras del Dane, para este período sumaron US$717,6 millones CIF, presentando un rendimiento superior al 90,4% en comparación con febrero de 2021. De este grupo sobresalió el petróleo y sus derivados (113,7%) que aportaron 79,2 puntos porcentuales a la variación de la categoría."
https://www.larepublica.co/especiales/opa-por-nutresa/se-han-hecho-mas-de-20-ofertas-de-adquisicion-durante-las-dos-ultimas-decadas-3343124,MÁS DE OPA POR NUTRESA,"En Colombia, el siglo XXI inició con la unificación de la Bolsa de Bogotá, la Bolsa de Medellín y la Bolsa de Occidente, plataformas que le dieron paso a la Bolsa de Valores de Colombia (BVC), con la intención de eliminar costos transaccionales y generar un mayor crecimiento. Desde entonces se han realizado más de 20 Ofertas Públicas de Adquisición (OPA), las cuales han servido para que grandes inversionistas extranjeros adquieran empresas colombianas en crecimiento, se expandan los consorcios económicos locales y se deslisten acciones.,Andrés Moreno, analista financiero y bursátil, asegura que “las OPA sirven para que, a través de un mercado público, se pueda intercambiar propiedad accionaria, como recién lo vimos en un gigante como Twitter. Para eso está la bolsa, para que lleguen nuevos socios y mayor capital. Sin embargo, cuando un accionista mayoritario decide comprarle a los minoritarios, termina quitándole liquidez a las especies y, en muchos casos, las saca de la misma bolsa”.,La primera gran adquisición que vio esta plataforma financiera, y que hasta ahora es la más grande de los últimos 20 años, fue la compra de Bavaria, que en ese momento era del Grupo Santodomingo (Caracol Televisión, Blu Radio, El Espectador y Cine Colombia) por parte de SAB Miller en 2005. La operación tuvo un costo de más de US$7.200 millones, repartidos entre los dueños y los accionistas minoritarios.,En 2006 se dio otra compra que marcó las operaciones de dos grandes marcas del retail colombiano. Almacenes Éxito adquirió Carulla Vivero por un total de US$470 millones, logrando más de 72% de las acciones en circulación. Para ese momento, ambas marcas contaban con 3.000 proveedores que producían más de 250.000 artículos.,Sin embargo, en 2019 Éxito fue adquirido por Companhia Brasileira de Distribuição, también conocida como GPA, por un total de $7,7 billones, para quedarse con 96,5% de las acciones en circulación. Se dio lugar a dicha transacción ya que el Grupo Casino buscaba reorganizar sus operaciones en la región. Tras la venta, la acción perdió liquidez y salió del índice bursátil Msci Colcap.,Otra de las grandes operaciones que se dieron en la bolsa provino de Votorantim en 2008, cuando lanzó una OPA por Acerías Paz del Río por $127.000 millones, y que lo llevó a sumar 20,5% a su posición en esa empresa. En total se quedó con 72,5%, tras recoger más de 3.200 millones de títulos. En 2021, el mismo emisor fue vendido a Trinity Capital y Structure por $75.000 millones y no se descarta que pueda venir una nueva OPA por 13,27% de las acciones restantes.,Si bien entre 2008 y 2011 se llevaron a cabo fusiones y adquisiciones entre empresas de energía por parte de compañías como Grupo Argos, Grupo Energía Bogotá y Celsia, la siguiente gran compra se dio en 2012, cuando la chilena Corpbanca logró 95% de las acciones del Banco Santander de Colombia, tras desembolsar US$1.225 millones, para más tarde sacar la acción de la BVC.,Ese mismo año, Corficolombiana, del Grupo Aval y Luis Carlos Sarmiento, lanzó una oferta para ampliar su participación en Promigas. En total desembolsó $634.600 millones por 18,72% de las acciones ordinarias, consolidándose así como el mayor socio de esta compañía, sobre la cual tiene control actualmente.,Según lo recoge el libro ‘La Bolsa en Colombia en el Siglo XXI’, en 2014 se dio un hecho inusual luego de que Mayagüez decidiera comprar el ingenio Central Tumaco por $335.776 millones, cifra que incluía Inversiones, Equipos y Servicios, Inesa, Inversiones Venecia, Invensa, Agroguachal y Compañía Agrícola San Felipe; sin embargo, la Superintendencia Financiera de Colombia (SFC) ordenó su suspensión debido a que la transacción se iba a realizar entre la misma persona, lo cual fue visto como falta de libertad y acceso de todos los accionistas de los emisores.,En 2019, Smurfit Kappa, uno de los grandes accionistas de Cartón de Colombia, lanzó una OPA con la que sumó 15,65% de acciones ordinarias, hasta quedar con 97% de participación en la compañía. De hecho, el proceso se extendió hasta 2021, debido a que la transacción terminó en la cancelación de la acción en la bolsa, la cual fue materializada en junio del año pasado.,Durante 2020 se desarrolló una OPA sobre Gas Natural por parte de Gamper Acquireco, inversionista que desembolsó $537.191 millones, con lo cual se hizo a 74,9%. Más tarde, en noviembre de 2021, inició la que se ha convertido en la segunda compra más grande en el mercado accionario hasta ahora, y la más importante de la última década.,El 11 de noviembre del año pasado, la SFC ordenó suspender la cotización de las acciones del Grupo Nutresa en la BVC, debido a una propuesta de OPA radicada por Jaime Gilinski, empresario caleño que ya tenía historia con el Grupo Empresarial Antioqueño (GEA), tras una disputa a inicios de los 2000 que involucró al hoy Grupo Bancolombia. Días después, el mismo oferente dobló su apuesta y radicó una nueva OPA por el Grupo Sura.,El 12 de enero de este año finalizó el periodo de aceptación de OPA y el comprador se quedó con 27,6% de la empresa de alimentos, tras pagar US$977 millones, y 25,2% de la compañía de seguros e inversiones, con un desembolso de US$946 millones.,No contento con esta participación, el mismo día en que se adjudicaron las OPA lanzó una nueva oferta que le otorgó 3,2% adicional en Nutresa, logrando 30,8%, por US$148 millones; mientras que en Sura consiguió 6,4% más para llegar a 31,6%, tras pagar US$288 millones.,Actualmente avanza un tercer round en el que el mismo Jaime Gilinski busca quedarse hasta con 12% adicional en Nutresa y 6,5% más en Sura. Hasta ahora, la operación ha costado más de US$2.359 millones.,Usualmente, entre mayor sea el control del emisor por parte de un solo socio, más liquidez tiende a perder la acción, debido a una menor cantidad de títulos flotantes. “En el caso de Sura y Nutresa también dependerá de las movidas que haga el management después de que se cumplan los procesos operativos. Lo que hemos visto hasta ahora es una mayor tracción en los emisores, por lo que no veo tan viable una salida del Msci Colcap a futuro”, dijo Valeria Álvarez, estratega de renta variable de Itaú Comisionista de Bolsa."
https://www.larepublica.co/empresas/datos-cocteleros-de-marcas-que-cambiaron-sus-nombres-para-entrar-a-mercados-3343484,Datos Cocteleros de marcas que cambiaron sus nombres para entrar a mercados (II),"La marca Danone tuvo que cambiar su nombre en EE.UU. a Dannon por un problema de pronunciación en inglés. En ese mercado, el nombre original se pronuncia Dan-one (uan). El nombre cambiado elimina este problema.,Mitsubishi tuvo que cambiar el nombre de uno de sus modelos, el Pajero, en varios mercados de habla hispana, en donde se le conoce como Montero. Esto, debido a sus connotaciones sexuales.,La marca de desodorantes Axe también tuvo que cambiar su nombre en cinco países: Reino Unido, Australia, Irlanda, China y Nueva Zelanda. La palabra Axe significa hacha y en estos mercados resultaba bastante agresiva para los consumidores. Por eso, eligieron la opción Lynx, que significa lince."
https://www.larepublica.co/ocio/las-cinco-razones-por-las-que-playstation-debe-ponerse-las-pilas-en-el-streaming-3341215,Las cinco razones por las que PlayStation debe ponerse las pilas en el streaming,"Para muchos fanáticos de Sony, la oferta del nuevo PlayStation Plus no es suficiente por el precio que ya ofrece la competencia por acceso a más juegos y retrocompatibilidad.,Al otro lado de la orilla, el Xbox Game Pass ofrece más de 400 juegos y las consolas series X y series S tienen tecnología de retrocompatibilidad para títulos de generaciones anteriores.,¿Que necesita Sony para competirle?"
https://www.asuntoslegales.com.co/actualidad/que-viene-para-colombia-en-el-proceso-contra-nicaragua-despues-del-fallo-de-la-cij-3347556,,
https://www.larepublica.co/economia/gobierno-nacional-expidio-nuevo-decreto-que-busca-promover-la-seguridad-minera-3347510,MÁS DE ECONOMÍA,"El presidente Iván Duque firmó el decreto No. 539 que expide un nuevo Reglamento de Higiene y Seguridad para las labores mineras a cielo abierto.,Según la Agencia Nacional de Minería (ANM), desde el 2011 han perdido la vida 151 personas y resultado heridas casi un centenar en actividades mineras realizadas bajo este método de explotación, el cual se basa en la extracción de minerales por medio de excavaciones superficiales e incluye las salinas marítimas, las fuentes termales, las explotaciones por medio de inyección de fluidos y las operaciones con dragas.,La reglamentación establece las normas  para la prevención de riesgos en las labores mineras a cielo abierto, así como adoptar las medidas para la preservación de las condiciones de seguridad y salud en los lugares de trabajo para titulares, operadores y subcontratistas mineros; solicitantes de programas de legalización o de formalización; beneficiarios de áreas de reserva especial, autorizaciones temporales; y de mecanismos para el trabajo bajo el amparo de un título en la pequeña minería.,“Para este Gobierno ha existido una premisa innegociable: en la mina primero la vida. Por esto, y teniendo en cuenta que desde la fecha en que se expidió en 1993 y hasta hoy, la ciencia y la tecnología han avanzado en cada uno de los procesos operacionales, al igual que se han presentado cambios normativos en seguridad y salud en el trabajo, hemos logrado dejarle al país y al sector minero un reglamento de seguridad para labores mineras a cielo abierto actualizado, más moderno y eficiente”, señaló la viceministra de Minas, Sandra Sandoval.,El nuevo reglamento establece la obligatoriedad de elaborar protocolos de procedimientos para adelantar las labores a cielo abierto por parte de los responsables de las explotaciones mineras, al igual que considera obligatorio que dichos responsables capaciten tanto a los trabajadores como al personal de supervisión y dirección en los aspectos técnicos y de prevención en este tipo de aprovechamiento minero.,También determina conceptualmente aspectos como equipos y elementos de protección personal, y lo concerniente a selección, suministro, mantenimiento, capacitación y entrenamiento sobre el uso de los tales equipos y elementos de cuidado personal.,Con esta nueva reglamentación, se actualizan conceptos y acciones relacionadas con obligaciones del titular, el explotador minero y el empleador; investigación de accidentes; ventilación, control de polvos, sostenimiento, almacenamiento y transporte de explosivos; capacitación y atención de emergencias; y salvamento minero entre otros."
